,latitude,longitude,minimum_nights,availability_365,neighbourhood_group_n,room_type_n
11498,40.68591,-73.91344,1,250,0,0
33864,40.74544,-73.82244,1,56,2,0
23010,40.69418,-73.94447,2,4,0,0
38847,40.75399,-73.99764,2,93,1,1
12803,40.71761,-73.95423,3,179,0,1
44498,40.82654,-73.90516,2,60,4,0
16229,40.76069,-73.98319,30,328,1,1
47364,40.68364,-73.94067,3,320,0,0
42755,40.69462,-73.94499,3,0,0,1
2203,40.69449,-73.91156,2,235,0,0
8271,40.74832,-73.98814,6,0,1,1
32537,40.74422,-73.90285,3,0,2,0
2665,40.74449,-73.95201,1,41,2,1
8152,40.67809,-73.95903,4,0,0,0
45853,40.75375,-73.97416,3,165,1,1
8373,40.59225,-73.95026,1,311,0,0
15171,40.71334,-73.96056,1,0,0,0
26034,40.81404,-73.95233,2,116,1,0
26587,40.83439,-73.8585,2,0,4,0
8368,40.79275,-73.97199,3,0,1,0
34524,40.75519,-73.91582,2,0,2,0
5339,40.73608,-73.9857,4,0,1,1
7383,40.76602,-73.99249,5,43,1,1
4335,40.68006,-73.97759,2,93,0,0
24183,40.82119,-73.95583,4,0,1,0
36500,40.71441,-73.95229,2,335,0,1
12776,40.71602,-73.96248,2,252,0,1
10973,40.74534,-73.95557,2,0,2,1
30572,40.68303,-73.96317,7,0,0,0
34102,40.66153,-73.99297,1,0,0,0
32068,40.68984,-73.98416,2,103,0,0
47625,40.71799,-73.95826,5,51,0,1
43886,40.76597,-73.9893,6,4,1,0
19556,40.76397,-73.96245,2,77,1,1
42541,40.70754,-74.00683,30,174,1,1
43613,40.70563,-74.00919,5,131,1,1
9485,40.74116,-73.99523,1,0,1,1
46136,40.73232,-73.97784,3,22,1,0
21824,40.78206,-73.94949,5,20,1,1
12205,40.68182,-73.97704,3,352,0,0
34970,40.73543,-73.87522,1,33,2,0
22522,40.65953,-73.94475,3,0,0,1
48622,40.83225,-73.94496,2,72,1,0
8654,40.66016,-73.95382,3,0,0,1
366,40.72577,-73.98745,5,365,1,1
14418,40.77511,-73.95276,10,88,1,1
41009,40.70203,-73.82841,2,30,2,0
30820,40.87287,-73.90157,2,365,4,0
44969,40.76352,-73.9828,1,294,1,0
40708,40.65801,-73.95732,4,127,0,1
40424,40.66715,-73.78346,1,320,2,2
44762,40.81258,-73.88566,1,121,4,0
44898,40.7559,-73.98562,1,298,1,0
25344,40.79629,-73.94913,7,0,1,0
7213,40.67382,-73.96782,2,0,0,0
40707,40.75218,-73.99541,30,303,1,1
31761,40.795,-73.97479,12,0,1,0
28174,40.80485,-73.96345,3,0,1,1
48474,40.76294,-73.99167,3,188,1,1
47510,40.72549,-73.94912,2,67,0,0
10605,40.72528,-74.00223,2,0,1,0
18609,40.69532,-73.94407,2,178,0,1
37037,40.71489,-73.98511,2,83,1,1
9208,40.71558,-73.93926,5,0,0,1
18854,40.80167,-73.95781,3,0,1,0
41342,40.76235,-73.92651,3,42,2,0
17820,40.72738,-74.00018,1,125,1,0
11090,40.72564,-73.94885,1,0,0,0
30008,40.8987,-73.86389,1,192,4,0
46412,40.69041,-73.99777,1,39,0,1
9321,40.72621,-74.00186,1,0,1,1
41606,40.7493,-73.97376,30,83,1,1
24926,40.71634,-73.96469,2,0,0,0
19635,40.80131,-73.97114,21,0,1,1
31637,40.65867,-73.9522,1,95,0,0
8115,40.72745,-73.98362,6,0,1,0
47251,40.83747,-73.94123,1,84,1,0
21492,40.73301,-73.95835,2,14,0,1
6314,40.72764,-73.98748,2,0,1,0
8682,40.68356,-73.95851,30,274,0,1
20511,40.70501,-73.91065,4,0,2,1
24475,40.69545,-73.94839,3,0,0,0
41406,40.70649,-74.01227,2,273,1,1
46745,40.81658,-73.938,2,208,1,1
14767,40.74021,-73.97992,30,311,1,1
23509,40.84977,-73.93536,5,0,1,0
19437,40.72021,-73.99592,10,137,1,1
12284,40.75826,-73.98923,5,78,1,1
5970,40.63213,-73.94598,4,100,0,0
17013,40.64455,-73.97826,14,0,0,0
20611,40.77121,-73.92847,7,0,2,1
26316,40.7301,-73.98841,2,34,1,1
7409,40.73305,-73.98255,5,0,1,0
35560,40.77078,-73.98344,1,0,1,1
35826,40.64689,-74.01401,1,361,0,0
42771,40.71971,-73.94377,2,20,0,0
28856,40.6776,-73.96638,3,0,0,0
20207,40.72315,-73.97878,5,0,1,1
18873,40.69402,-73.94529,3,291,0,0
48531,40.68183,-73.96464,1,6,0,1
43882,40.73264,-74.00422,2,43,1,1
7108,40.73451,-74.00746,3,364,1,1
17639,40.71725,-73.95541,4,0,0,0
47787,40.67817,-73.97603,6,14,0,1
42147,40.82335,-73.94902,1,139,1,0
38017,40.77717,-73.95404,2,64,1,1
39974,40.83845,-73.9412,1,0,1,0
9386,40.6927,-73.94656,1,158,0,0
8198,40.75815,-73.99374,1,0,1,2
11180,40.63461,-74.03164,2,291,0,1
31693,40.66061,-73.96209,3,74,0,1
37797,40.69368,-73.92539,1,172,0,0
26609,40.6897,-73.91512,2,0,0,0
36190,40.7092,-73.91246,1,0,2,0
47494,40.69328,-73.92085,2,5,0,0
7376,40.76387,-73.99039,7,0,1,1
596,40.68645,-73.97538,3,305,0,0
7557,40.67812,-73.97353,6,209,0,1
32000,40.7936,-73.96642,30,364,1,1
33611,40.75697,-73.91314,2,167,2,0
23139,40.70336,-73.92657,1,0,0,1
16248,40.81829,-73.94686,2,75,1,1
7105,40.65887,-73.95105,1,0,0,0
35528,40.76828,-73.87752,1,0,2,1
9945,40.78557,-73.97214,1,0,1,0
38013,40.72514,-73.98504,3,110,1,1
10328,40.69143,-73.96079,4,12,0,0
18390,40.82112,-73.95112,5,0,1,0
34419,40.67349,-74.00589,1,48,0,0
4361,40.69393,-73.94689,1,0,0,0
45621,40.70378,-73.99278,3,136,0,0
20801,40.71002,-73.96114,30,342,0,1
20903,40.71734,-73.95952,2,0,0,0
46685,40.75842,-73.99281,4,107,1,1
34486,40.70024,-73.924,3,0,0,0
46909,40.74612,-73.97417,1,201,1,1
12996,40.70629,-74.0098,3,26,1,0
26503,40.69772,-73.98365,2,0,0,1
104,40.71332,-73.94177,3,152,0,0
8076,40.74409,-73.97145,1,0,1,1
46804,40.64635,-73.95474,3,46,0,2
26234,40.68939,-73.96474,5,354,0,1
36029,40.74704,-73.97356,30,92,1,1
44738,40.71634,-74.00694,30,309,1,1
31248,40.70688,-74.00523,29,343,1,1
46123,40.74351,-73.92281,3,0,2,0
29204,40.7233,-73.94065,2,0,0,0
31743,40.70518,-74.00994,29,347,1,1
14559,40.75321,-73.97215,1,0,1,2
34151,40.70917,-73.93513,2,21,0,0
9528,40.67047,-73.95372,1,365,0,0
20632,40.70614,-73.9487,2,0,0,1
30455,40.79167,-73.97421,2,176,1,1
38950,40.80155,-73.96498,2,0,1,1
7065,40.71158,-73.85273,1,59,2,0
29669,40.77253,-73.82467,2,57,2,0
9425,40.61999,-74.03181,1,281,0,0
5836,40.81774,-73.94595,4,46,1,1
10720,40.67115,-73.91621,1,33,0,0
20905,40.68156,-73.91424,2,0,0,0
3931,40.66443,-73.98792,1,22,0,0
4852,40.7212,-73.98893,1,0,1,1
24513,40.79368,-73.94132,3,0,1,0
29022,40.71127,-73.95898,3,0,0,0
4112,40.67265,-73.9485,2,73,0,0
26596,40.75643,-73.96847,2,0,1,1
14976,40.68762,-73.97516,4,193,0,0
47712,40.744,-73.90185,1,60,2,1
13740,40.67434,-73.95762,4,0,0,0
9385,40.72328,-73.94041,1,0,0,0
21314,40.78068,-73.9767,30,341,1,0
35808,40.7708,-73.92686,30,184,2,0
40423,40.70755,-73.74421,1,354,2,0
37975,40.79469,-73.84544,5,0,2,0
47730,40.67244,-73.92267,7,44,0,0
16058,40.69116,-73.96039,6,11,0,1
41775,40.76259,-73.98667,30,365,1,1
36021,40.6676,-73.90954,2,20,0,0
38957,40.65343,-73.94914,3,8,0,0
29039,40.68232,-73.96043,4,0,0,2
47978,40.69107,-73.92638,2,179,0,0
43447,40.68466,-73.91716,2,262,0,1
38645,40.8471,-73.93996,3,0,1,0
41699,40.89308,-73.85076,7,357,4,0
9094,40.76112,-73.9619,30,298,1,1
5652,40.71293,-73.84915,1,183,2,0
39642,40.67119,-73.93468,1,0,0,0
42627,40.72849,-73.98576,30,365,1,0
22018,40.76578,-73.95443,2,287,1,0
41750,40.74864,-73.97407,29,220,1,1
36237,40.72608,-74.00336,2,284,1,1
17890,40.64943,-73.96202,2,355,0,0
14644,40.72983,-74.00557,1,158,1,1
42489,40.57974,-73.95892,1,0,0,0
27636,40.71994,-74.00332,14,181,1,1
41735,40.78385,-73.94828,2,351,1,0
34569,40.75607,-73.9941,3,206,1,1
18701,40.63949,-73.90585,2,0,0,1
48432,40.74612,-73.9796,4,78,1,1
41987,40.70759,-74.01242,2,311,1,1
45788,40.63698,-74.01139,1,360,0,0
27378,40.76498,-73.82904,1,78,2,0
23388,40.76422,-73.96612,1,34,1,0
14805,40.7258,-73.9515,7,0,0,0
11604,40.72698,-73.94911,1,76,0,0
22925,40.68908,-73.96429,2,361,0,1
20242,40.64074,-74.01512,1,360,0,0
44385,40.76061,-73.9967,29,334,1,1
2336,40.72855,-74.00136,2,188,1,1
46800,40.80315,-73.95616,30,364,1,0
10962,40.74568,-73.98324,7,302,1,1
14327,40.6881,-73.94516,1,0,0,0
12712,40.74302,-73.98098,5,0,1,1
25823,40.76154,-73.99306,2,240,1,1
36050,40.71953,-73.96401,2,3,0,0
28327,40.76656,-73.98848,4,198,1,1
3057,40.68366,-73.95009,1,314,0,0
18422,40.6824,-73.94245,1,364,0,0
27751,40.67665,-73.96985,7,0,0,1
41179,40.8235,-73.95391,21,0,1,0
29757,40.66989,-73.9436,3,18,0,0
42222,40.68406,-73.98481,1,40,0,1
31061,40.68314,-73.92784,2,334,0,1
34392,40.75974,-73.99016,1,232,1,0
27202,40.64963,-73.89817,4,37,0,0
8686,40.71661,-73.98916,3,0,1,1
43693,40.61326,-73.94742,1,179,0,0
8142,40.71544,-73.95552,3,17,0,1
37141,40.82827,-73.94257,3,0,1,1
31365,40.68652,-73.91212,2,140,0,1
16997,40.73458,-74.0028,2,0,1,0
40590,40.77008,-73.87442,1,80,2,1
28821,40.71938,-73.95476,3,0,0,1
30959,40.69336,-73.94453,2,18,0,1
45247,40.70603,-73.89562,3,155,2,1
8089,40.67986,-73.94259,2,364,0,0
44417,40.72138,-73.98543,7,284,1,1
39654,40.69545,-73.86084,2,0,2,0
10846,40.84707,-73.93541,1,0,1,0
48695,40.79031,-73.94269,1,354,1,1
4137,40.69987,-73.92552,1,334,0,1
29713,40.72017,-73.95977,2,253,0,1
24825,40.71913,-73.95769,3,0,0,1
45264,40.76762,-73.95693,3,52,1,1
19454,40.74244,-73.99781,3,1,1,1
11141,40.65336,-73.95305,2,249,0,0
20879,40.67673,-73.95311,3,244,0,1
36091,40.62908,-73.92265,1,365,0,0
14076,40.7462,-73.97707,3,0,1,1
47072,40.63646,-74.02396,3,327,0,0
5591,40.70046,-73.90692,21,0,2,1
47041,40.72434,-73.99945,3,292,1,1
46207,40.76183,-73.9916,2,212,1,1
14743,40.70478,-73.92767,21,0,0,0
7705,40.66907,-73.94168,2,341,0,1
7224,40.73765,-73.98366,1,353,1,2
12499,40.83549,-73.93968,3,244,1,1
7306,40.73554,-73.98855,2,0,1,1
20951,40.80007,-73.96524,1,337,1,1
3621,40.6591,-73.96116,2,365,0,0
15745,40.82555,-73.95159,3,0,1,0
15209,40.79226,-73.97299,30,317,1,1
23385,40.68539,-73.94973,2,276,0,0
37267,40.79487,-73.96304,3,5,1,0
17565,40.64231,-73.97974,5,0,0,0
5722,40.77375,-73.91646,3,340,2,0
45421,40.74024,-74.00484,2,58,1,1
34128,40.72848,-74.00116,1,0,1,0
35199,40.71286,-73.9599,2,213,0,1
30565,40.71384,-73.94228,15,1,0,0
5689,40.72126,-73.94328,2,71,0,1
45880,40.71736,-73.9827,4,315,1,1
1938,40.7106,-73.96532,2,365,0,0
3775,40.78345,-73.97858,2,0,1,1
29055,40.71638,-73.93988,30,179,0,1
27099,40.67186,-73.92244,2,0,0,1
44796,40.75436,-73.97254,3,186,1,1
32665,40.64172,-73.93073,2,34,0,1
43751,40.76402,-73.89098,1,0,2,0
19578,40.67741,-73.95386,30,0,0,1
20254,40.69097,-73.93612,2,5,0,1
36554,40.70229,-73.92223,1,354,0,0
5490,40.71276,-73.95114,2,0,0,1
18910,40.82986,-73.93965,2,0,1,1
27289,40.63178,-73.97128,1,0,0,1
24948,40.69287,-73.92939,4,188,0,0
4880,40.77097,-73.94848,1,0,1,1
22131,40.73581,-74.00666,4,22,1,1
5647,40.67823,-73.99515,4,158,0,1
14937,40.68125,-73.97974,3,0,0,1
36773,40.72839,-73.99133,1,179,1,1
8135,40.77867,-73.95121,1,359,1,0
40562,40.75396,-73.90111,2,4,2,0
38566,40.80401,-73.96635,1,0,1,0
34547,40.70856,-74.00659,29,332,1,1
10416,40.83713,-73.94343,1,0,1,0
34800,40.73874,-73.87615,29,41,2,0
36284,40.68456,-73.94962,2,64,0,0
42115,40.88999,-73.86008,2,54,4,0
46544,40.71004,-73.95577,2,23,0,1
279,40.70863,-73.94641,4,46,0,1
32381,40.70822,-73.94825,2,0,0,1
22449,40.68727,-73.98574,5,24,0,1
41981,40.79877,-73.96313,1,0,1,0
32122,40.82493,-73.93825,1,90,1,0
40377,40.71105,-73.94563,1,86,0,0
44740,40.77984,-73.95231,30,192,1,1
36453,40.63994,-73.9516,1,179,0,0
47945,40.71409,-73.99427,1,259,1,0
19574,40.75105,-73.97045,30,297,1,1
6646,40.77917,-73.97397,1,0,1,1
13695,40.68203,-73.89374,1,361,0,0
1990,40.68586,-73.95875,3,0,0,1
11777,40.72525,-73.98691,6,36,1,0
24240,40.75221,-73.81533,1,356,2,0
10894,40.67416,-73.93854,1,0,0,0
32383,40.77735,-73.96222,3,106,1,1
36794,40.73812,-73.95649,3,0,0,1
4259,40.74405,-73.91502,1,0,2,1
15045,40.76573,-73.98295,30,352,1,1
47010,40.67606,-73.98251,3,232,0,1
30573,40.69147,-73.76013,3,90,2,0
8435,40.86743,-73.92643,3,0,1,1
48176,40.64531,-73.99757,2,139,0,0
23583,40.85168,-73.86659,7,180,4,1
34499,40.86299,-73.89088,2,210,4,0
42440,40.70158,-73.92257,2,88,0,0
8514,40.68683,-73.95466,3,0,0,1
37028,40.7487,-73.99678,1,23,1,0
39728,40.7328,-74.00468,3,166,1,1
6627,40.7555,-73.96575,1,0,1,1
42260,40.71078,-73.96905,2,2,0,1
36160,40.63549,-74.00553,1,180,0,0
4271,40.8068,-73.94258,5,0,1,1
45819,40.81981,-73.94523,7,153,1,1
14969,40.67807,-73.95913,4,0,0,1
7278,40.63304,-74.02811,15,317,0,0
2103,40.7982,-73.96394,1,281,1,1
37856,40.87,-73.90129,4,86,4,0
710,40.74025,-74.00161,5,0,1,0
4535,40.70724,-73.94217,3,0,0,0
43536,40.70632,-74.01188,2,338,1,1
23624,40.73444,-73.99967,3,237,1,0
4150,40.80494,-73.95638,5,12,1,1
25703,40.71015,-74.01281,2,0,1,1
12642,40.71941,-73.98534,1,0,1,1
45983,40.67145,-73.93355,1,88,0,0
48829,40.83734,-73.94326,4,83,1,1
30975,40.63757,-73.89205,2,362,0,0
9753,40.68949,-73.91191,5,0,0,0
7340,40.68856,-73.95315,1,0,0,1
23232,40.68722,-73.73254,5,83,2,0
24396,40.68927,-73.90817,2,241,0,1
6437,40.69549,-73.97144,30,187,0,1
44818,40.75334,-73.93631,1,357,2,1
6940,40.79399,-73.94255,4,11,1,0
8067,40.82337,-73.94529,5,362,1,1
40495,40.74579,-73.9726,4,140,1,1
4968,40.76524,-73.98018,2,0,1,1
3644,40.78401,-73.94863,5,0,1,1
25819,40.75035,-73.97907,3,26,1,2
42474,40.80808,-73.9405,1,238,1,0
44471,40.80378,-73.96619,14,15,1,0
28084,40.65543,-73.95674,1,0,0,1
10402,40.70335,-73.92891,2,0,0,0
2446,40.71908,-74.00546,1,128,1,1
17031,40.66446,-73.97987,4,0,0,1
3602,40.68922,-73.94626,3,261,0,1
18103,40.737,-73.98231,2,0,1,0
15843,40.71728,-73.94345,5,0,0,0
36032,40.7042,-73.9259,4,0,0,1
37935,40.75625,-73.99678,1,156,1,0
5837,40.80936,-73.94454,2,215,1,1
2280,40.81102,-73.94562,30,0,1,1
24432,40.69935,-73.93872,1,0,0,0
10562,40.75526,-73.86468,1,328,2,0
12627,40.73411,-73.99787,1,0,1,1
30120,40.68901,-73.90768,2,0,0,0
41662,40.74378,-73.97356,29,364,1,1
18427,40.69369,-73.92421,10,0,0,1
38008,40.62917,-74.08619,3,166,3,1
278,40.71069,-73.95175,10,152,0,1
48491,40.69807,-73.93466,1,14,0,0
29441,40.71136,-73.9534,1,0,0,0
37319,40.71258,-73.94307,1,16,0,1
184,40.67994,-73.97863,5,18,0,1
25861,40.61353,-74.06724,2,114,3,0
21940,40.72999,-73.86043,2,278,2,1
26789,40.78642,-73.97652,5,54,1,0
30365,40.76431,-73.98859,1,167,1,2
30026,40.71608,-73.99081,4,0,1,1
34469,40.71425,-73.9623,5,0,0,1
43449,40.87414,-73.88342,1,271,4,0
30978,40.58019,-73.95403,1,350,0,1
34206,40.6417,-73.95251,2,287,0,0
29932,40.68799,-73.95202,2,62,0,1
23191,40.73334,-73.98904,7,7,1,1
47955,40.83671,-73.84677,1,363,4,0
5009,40.71445,-73.99287,7,0,1,0
26848,40.75323,-73.94025,4,187,2,1
47449,40.76364,-73.97589,2,253,1,1
30574,40.83711,-73.94438,1,5,1,0
14383,40.76096,-73.9672,5,0,1,0
5306,40.79998,-73.96404,15,0,1,1
7983,40.72003,-73.98901,30,227,1,1
37140,40.69651,-73.94763,2,338,0,0
28384,40.78313,-73.97555,3,0,1,0
33930,40.74443,-74.0029,5,4,1,1
41706,40.67241,-73.95041,2,66,0,0
21349,40.72651,-73.86173,1,74,2,1
947,40.70507,-73.9353,3,110,0,0
40913,40.70961,-73.98679,15,185,1,0
10301,40.71413,-73.95044,2,0,0,0
31454,40.74579,-73.8997,2,0,2,0
23066,40.69416,-73.90816,7,0,0,0
30468,40.74161,-73.99435,30,338,1,1
43760,40.72485,-73.98422,2,2,1,0
15675,40.71194,-73.95742,5,0,0,0
7074,40.75928,-73.99036,1,0,1,1
40130,40.7077,-74.01555,1,363,1,1
12870,40.72288,-73.98454,1,201,1,0
48166,40.80624,-73.9502,1,179,1,0
643,40.70875,-73.95508,30,102,0,1
25925,40.70088,-73.91836,3,0,0,0
43339,40.60898,-73.95341,1,348,0,0
48150,40.73635,-74.00223,1,72,1,1
48052,40.72779,-73.94081,6,54,0,0
44127,40.59344,-73.78906,3,363,2,0
2368,40.77068,-73.95867,3,0,1,0
44952,40.76427,-73.97618,1,349,1,0
20686,40.77547,-73.9623,2,327,1,0
18867,40.82316,-73.94478,7,285,1,1
9941,40.68248,-73.92811,2,235,0,1
22241,40.67156,-73.98366,4,37,0,1
34502,40.71784,-73.96363,1,9,0,0
8739,40.66866,-73.98214,14,0,0,0
12869,40.6576,-73.94609,2,273,0,1
38962,40.59107,-74.07061,1,362,3,0
23484,40.74214,-73.98048,7,332,1,0
39228,40.74374,-73.97998,7,90,1,1
46663,40.75883,-73.9216,2,282,2,1
230,40.73401,-73.95967,2,12,0,1
30142,40.71399,-73.95363,2,19,0,1
28351,40.75694,-73.92558,5,0,2,0
7764,40.69442,-73.96016,30,201,0,0
2287,40.68754,-73.99284,30,345,0,1
48735,40.70366,-73.92728,3,28,0,0
41638,40.74189,-73.99019,3,76,1,1
10674,40.76365,-73.98484,1,0,1,0
29735,40.80194,-73.94397,3,77,1,0
18920,40.75034,-73.9878,30,311,1,1
18610,40.70483,-74.01545,4,203,1,1
12656,40.80172,-73.9656,4,0,1,1
44649,40.64051,-73.96427,3,113,0,1
41192,40.70132,-73.75463,2,230,2,1
15114,40.69764,-73.94929,3,0,0,1
11246,40.77243,-73.95016,2,0,1,1
34383,40.70562,-73.92734,1,0,0,0
27203,40.63118,-74.12866,2,355,3,0
30336,40.68464,-73.92268,2,35,0,1
15656,40.79376,-73.96734,2,0,1,1
32962,40.76311,-73.98704,2,54,1,0
7194,40.80177,-73.9571,8,111,1,1
8757,40.66079,-73.9342,30,249,0,0
5731,40.81619,-73.94003,3,0,1,1
36201,40.6437,-73.95973,4,19,0,1
40383,40.66014,-73.7582,2,147,2,1
3896,40.71952,-73.96281,5,284,0,1
8315,40.83001,-73.94815,5,348,1,0
38699,40.75988,-73.98568,30,341,1,1
33440,40.64792,-73.97647,5,87,0,1
30735,40.75204,-73.88902,5,189,2,0
2269,40.73099,-73.98762,10,0,1,0
20059,40.69467,-73.923,3,0,0,0
23687,40.76952,-73.98957,3,0,1,1
29268,40.7232,-73.98152,30,219,1,0
42110,40.71965,-73.94234,15,37,0,0
45297,40.74661,-73.90301,30,333,2,1
9157,40.77734,-73.95779,7,0,1,2
25507,40.74042,-73.97822,1,0,1,0
16089,40.73418,-73.99338,3,38,1,1
38496,40.67727,-73.90663,1,231,0,0
28037,40.57962,-73.96535,1,135,0,1
21097,40.68949,-73.9557,3,0,0,1
44710,40.81415,-73.88671,1,97,4,0
5896,40.7555,-73.99369,4,255,1,1
34551,40.60569,-73.99823,3,96,0,1
6770,40.69191,-73.99331,2,0,0,1
9617,40.72164,-73.97927,1,31,1,1
46592,40.6626,-73.76349,1,365,2,0
41308,40.74685,-73.88626,1,141,2,1
48753,40.686,-73.93,30,10,0,0
19673,40.71206,-73.98824,5,0,1,0
40581,40.68001,-73.90547,7,0,0,0
18061,40.71795,-73.98553,1,0,1,0
13186,40.70896,-73.94129,1,10,0,0
41829,40.63285,-74.0778,2,252,3,1
43006,40.60165,-73.96299,1,0,0,0
30748,40.77241,-73.8238,1,71,2,0
29813,40.76551,-73.98315,29,358,1,1
9080,40.74438,-74.00178,3,1,1,1
47893,40.63314,-74.006,1,365,0,0
912,40.63602,-73.94607,3,333,0,1
35928,40.73176,-73.95525,1,0,0,1
26411,40.75573,-73.72931,1,325,2,0
7982,40.79233,-73.9643,4,274,1,1
22671,40.729,-73.98195,30,0,1,1
44647,40.72155,-73.94671,15,24,0,1
43738,40.80238,-73.96737,1,0,1,1
17488,40.80046,-73.95509,1,0,1,0
23988,40.76801,-73.96085,1,0,1,0
35913,40.83988,-73.86978,1,365,4,1
10476,40.737,-73.99576,1,0,1,1
34694,40.70844,-73.92274,2,0,0,0
370,40.68505,-73.95684,2,102,0,1
8358,40.85516,-73.9378,1,0,1,1
35102,40.69355,-73.92684,2,158,0,0
3245,40.85258,-73.78762,3,16,4,1
38105,40.71027,-73.95293,1,43,0,0
39318,40.73578,-73.95369,4,321,0,1
10628,40.64277,-73.97947,1,0,0,1
16302,40.69832,-73.92622,2,3,0,1
23833,40.74808,-73.98172,5,52,1,1
31132,40.75436,-73.85696,2,141,2,1
11721,40.7606,-73.97181,1,0,1,0
39050,40.81281,-73.94475,3,0,1,0
46999,40.74441,-74.00765,2,74,1,1
29331,40.82645,-73.94984,1,132,1,0
34118,40.6855,-73.96112,1,365,0,1
36985,40.72653,-73.98501,7,130,1,1
34878,40.72409,-73.95039,5,68,0,1
14974,40.67832,-73.95128,3,0,0,0
25798,40.70942,-73.94897,2,46,0,0
33168,40.76505,-73.95824,10,2,1,0
31790,40.75989,-73.91571,1,0,2,0
1377,40.67293,-73.96399,5,0,0,1
24368,40.67767,-73.9602,1,90,0,2
11024,40.71263,-73.9591,2,0,0,1
28154,40.79572,-73.96781,7,0,1,1
39289,40.83175,-73.94692,4,7,1,0
26169,40.8062,-73.95528,2,18,1,1
7152,40.71495,-73.93997,3,289,0,0
34897,40.77943,-73.95456,26,90,1,2
28128,40.71991,-73.98832,10,0,1,0
2899,40.72866,-74.00095,3,80,1,1
28815,40.70481,-73.93766,4,0,0,0
16904,40.68813,-73.95479,2,0,0,1
13845,40.80985,-73.93838,3,157,1,1
7401,40.65881,-73.93376,30,306,0,0
11949,40.71846,-73.98727,2,0,1,0
5886,40.7269,-73.83952,2,334,2,0
27597,40.79069,-73.96614,3,0,1,1
30648,40.7109,-73.95916,2,0,0,1
1406,40.68935,-73.9695,3,189,0,1
41266,40.76412,-73.98771,3,173,1,0
39296,40.6609,-73.9412,1,58,0,0
42481,40.70106,-73.93895,30,342,0,0
422,40.80473,-73.9532,8,343,1,1
43688,40.74263,-73.97639,6,0,1,0
16750,40.81619,-73.93798,1,0,1,1
29240,40.7089,-73.95632,2,0,0,1
39856,40.86437,-73.86047,3,155,4,0
46993,40.72254,-73.99985,1,293,1,0
295,40.683,-73.91981,3,72,0,1
27096,40.68623,-73.93807,2,70,0,1
29827,40.652,-73.95805,3,0,0,1
4312,40.71376,-73.94239,21,96,0,0
43250,40.86313,-73.90183,1,0,4,2
21953,40.5938,-73.77373,1,324,2,0
36234,40.72925,-73.98459,3,0,1,1
47279,40.6765,-73.81947,3,327,2,1
40846,40.72328,-73.94969,2,0,0,1
21987,40.74054,-74.0004,6,0,1,1
40517,40.73421,-73.95318,2,188,0,1
33018,40.65287,-73.94861,2,217,0,1
37251,40.7156,-73.95233,2,0,0,0
41467,40.70751,-74.01066,2,302,1,1
37223,40.68911,-73.86922,2,289,0,1
34380,40.7562,-73.96796,1,35,1,1
30334,40.75988,-73.96115,30,229,1,1
28812,40.72224,-73.99991,3,0,1,1
47368,40.72226,-73.99351,3,312,1,1
4414,40.70633,-74.01837,30,0,1,1
41795,40.71304,-73.96729,30,53,0,1
20021,40.7806,-73.95178,21,0,1,1
46738,40.75009,-73.87799,1,350,2,2
38913,40.7409,-73.95506,3,314,2,1
18957,40.66136,-73.8678,2,159,0,0
6028,40.76638,-73.98741,1,0,1,0
6489,40.71585,-73.98982,3,7,1,1
29747,40.72011,-73.99535,1,0,1,0
8317,40.73314,-74.00835,2,0,1,0
45613,40.67562,-73.95319,7,5,0,0
35699,40.80977,-73.93038,1,0,4,2
32044,40.75678,-73.99357,9,12,1,1
12792,40.71712,-73.94671,2,358,0,0
10424,40.6834,-73.98549,3,0,0,1
43942,40.72811,-73.99893,2,146,1,0
4746,40.69846,-73.99312,2,189,0,0
23653,40.68015,-73.94949,3,0,0,0
41855,40.72013,-73.99524,30,125,1,0
28360,40.69699,-73.91531,2,0,0,0
10324,40.76281,-73.91554,1,0,2,0
13840,40.75126,-73.99498,3,0,1,0
18835,40.70708,-73.92343,1,38,0,1
32006,40.69012,-73.75349,2,122,2,0
17936,40.70582,-73.93696,2,20,0,1
1306,40.72603,-73.98751,2,256,1,1
22275,40.58092,-73.96139,1,4,0,0
9316,40.65683,-73.9609,1,0,0,0
23062,40.72349,-73.9841,3,0,1,1
22822,40.74569,-73.99687,1,8,1,1
220,40.72821,-73.98701,3,0,1,1
40982,40.79881,-73.9596,30,329,1,0
38339,40.71744,-73.98957,3,0,1,0
32855,40.71434,-73.78805,1,166,2,1
6531,40.71754,-73.96228,1,0,0,0
5589,40.87279,-73.91991,5,1,1,1
15430,40.6235,-73.91056,4,322,0,1
23057,40.75172,-73.9379,1,0,2,0
43307,40.73823,-73.98343,30,331,1,1
1160,40.68721,-74.00147,7,0,0,0
28854,40.71086,-74.00464,3,0,1,0
30555,40.69028,-73.94163,3,364,0,0
10948,40.77564,-73.9533,1,186,1,0
26319,40.66423,-73.94047,7,0,0,0
36638,40.73945,-73.98168,2,74,1,1
10820,40.72342,-73.98871,2,0,1,1
4686,40.71189,-73.96282,10,0,0,1
22958,40.69337,-73.91142,1,0,0,0
32210,40.76596,-73.98926,3,79,1,1
16921,40.72229,-73.98175,3,0,1,1
45576,40.7192,-73.94805,3,359,0,1
2677,40.76924,-73.91776,6,180,2,0
26049,40.72684,-73.86409,4,0,2,0
